twogram,frequency
vous inquiétez,10470
cest incroyable,10469
pas faire,10423
fais là,10416
le cas,10400
ça te,10386
de te,10374
je tai,10351
deux trois,10312
pas à,10274
tu fous,10263
je viens,10131
le connais,10029
comment vous,9956
jai fait,9937
te parler,9920
plus vite,9896
vous pouvez,9888
bien reçu,9881
cest que,9872
non monsieur,9870
avez raison,9856
à quoi,9819
vais vous,9815
ira bien,9803
attends une,9783
quoi donc,9754
le jure,9737
pas ce,9716
une idée,9703
la police,9665
faistu ici,9646
allez viens,9641
la maison,9564
le camp,9517
comment vastu,9500
une blague,9496
en fait,9494
fils de,9492
tu racontes,9483
plus maintenant,9461
je voulais,9444
cest fait,9439
qui estu,9437
pas toi,9429
quelle heure,9397
tout ce,9372
à laide,9366
où allezvous,9365
au courant,9360
quil a,9348
allez bien,9343
il ne,9338
quon fait,9278
tu viens,9276
le dire,9274
besoin daide,9271
le promets,9260
as fait,9248
elle a,9168
cest sûr,9156
veuxtu dire,9127
avec plaisir,9109
te voir,9082
chez moi,9077
en avant,9041
ça y,9040
pas si,9036
faire quoi,9021
ce bordel,8980
bonne journée,8974
vous comprenez,8967
dieu merci,8965
combien de,8934
que puisje,8928
oui madame,8905
savais pas,8897
me sens,8896
sans blague,8884
ne te,8884
le ferai,8858
regarde pas,8835
le suis,8790
te souviens,8787
et ça,8787
jai pas,8778
où étaistu,8777
tu dis,8775
la vie,8771
ça a,8768
merci monsieur,8762
rien du,8757
tout ira,8670
ça se,8627
qui vous,8620
men vais,8590
pas quoi,8578
de pute,8567
je lignore,8567
pour ça,8560
voulezvous dire,8560
ne pense,8536
faitesvous ici,8529
vous me,8512
la voilà,8510
cest bizarre,8500
on doit,8487
regardez ça,8475
on fait,8473
sen va,8387
un accident,8385
cest parfait,8384
en a,8371
ah ouais,8354
les deux,8350
tu nas,8325
te sens,8279
ne dis,8260
et pourquoi,8252
cest comme,8248
cest clair,8227
cest mieux,8221
bien sur,8215
parce que,8212
vu ça,8191
a quoi,8159
vous parlez,8142
pas comme,8139
qui te,8134
la tête,8129
nous y,8123
est morte,8085
lai dit,8028
touche pas,8025
lui parler,8017
connais pas,7943
jai quelque,7925
est à,7878
rien de,7868
pas tout,7847
lai fait,7842
suis daccord,7827
et merde,7776
je suppose,7770
quoi dautre,7769
une fois,7767
à dire,7763
pas trop,7752
cest important,7752
il le,7738
tas raison,7732
votre nom,7695
es sûre,7673
êtes sûr,7657
jai un,7619
son nom,7596
oui merci,7588
jai peur,7562
vraiment désolé,7559
et comment,7543
la voiture,7542
vos ordres,7538
très drôle,7535
prends ça,7529
fais attention,7522
quoi vous,7513
salut les,7511
me souviens,7498
te dire,7466
ne lai,7448
attends un,7434
men fous,7432
juste là,7404
on verra,7399
si tu,7396
le moment,7385
comme tu,7382
les enfants,7368
pas juste,7365
cest gentil,7365
es là,7356
ma chérie,7325
fais ici,7319
jy crois,7304
ne vois,7289
mon fils,7288
men fiche,7265
de ma,7255
pourquoi ça,7226
ah non,7222
putain de,7220
peux te,7205
comme quoi,7164
puisje vous,7140
tu rigoles,7135
je pensais,7132
fait mal,7125
de ça,7103
cest elle,7098
jai rien,7076
a laide,7069
où sontils,7063
merci pour,7061
ça alors,7052
je lui,7029
est parti,7019
il nest,6994
ta faute,6994
une erreur,6989
moi si,6933
à lheure,6900
se voit,6889
tu devrais,6886
content de,6874
sais bien,6859
vous mentendez,6843
vous plaisantez,6835
les voilà,6817
tirez pas,6810
encore une,6783
que tas,6782
dis pas,6776
attendez une,6770
comprenez pas,6756
peux faire,6742
dit quoi,6723
et puis,6664
nen ai,6660
oui ça,6643
ai pas,6632
qui sait,6609
peux plus,6596
cest dingue,6588
va faire,6586
nulle part,6571
pas bien,6566
on en,6558
en lair,6558
mains en,6558
lavais dit,6554
quil se,6539
suis sûr,6530
allez on,6501
ton problème,6479
mais pourquoi,6478
qui a,6471
rien dit,6449
voyons voir,6444
vous aussi,6438
vous parler,6430
a pas,6429
et après,6429
je laime,6418
men souviens,6408
chez toi,6404
le vois,6394
quoi ton,6393
les yeux,6379
ne sait,6377
hors de,6375
je les,6369
est où,6362
suis en,6358
tu dois,6356
ravi de,6333
cest magnifique,6316
comme vous,6297
quon va,6277
quen pensestu,6269
vois ça,6269
a rien,6261
bon daccord,6258
alors quoi,6251
pas ici,6210
tu tappelles,6202
on na,6195
dois partir,6191
te plait,6188
suis sérieux,6188
dans la,6168
venez avec,6162
pour qui,6157
ne comprenez,6142
on dirait,6141
le savez,6131
lai pas,6117
vous plait,6113
ne peut,6107
que jy,6106
jy aille,6106
te fous,6099
ils arrivent,6099
quoi parlezvous,6072
cest drôle,6052
la peine,6051
cétait un,6047
ne tirez,6041
quel âge,6040
ce quon,6036
te crois,6013
demande pardon,6005
on la,5995
le dis,5989
je plaisante,5971
reste ici,5964
donnemoi ça,5957
la chance,5944
pas sûr,5924
jy suis,5913
pas besoin,5908
es fou,5896
vois pas,5895
touchez pas,5888
vas faire,5883
ne pouvez,5880
ma mère,5880
pouvez pas,5880
avec toi,5870
bien merci,5866
le faut,5851
reviens tout,5840
men charge,5835
sois pas,5834
tas fait,5828
dire ça,5827
cest terminé,5826
vous remercie,5824
à terre,5814
questil arrivé,5814
tu ten,5809
vraiment désolée,5806
les mains,5803
mais oui,5801
comment estce,5800
te prend,5791
en route,5786
me suis,5785
et ensuite,5764
tous les,5760
ton nom,5754
quen pensezvous,5748
le président,5745
peut pas,5744
déjà fait,5742
jen doute,5739
nas pas,5730
sais qui,5729
tiens bon,5726
ton père,5718
où il,5718
bien monsieur,5713
taime aussi,5712
cest vous,5709
as dit,5704
te lai,5703
vais y,5659
à faire,5653
je rentre,5647
joyeux noël,5637
fous de,5630
tu penses,5620
où êtesvous,5617
cest vraiment,5608
ce quil,5593
un geste,5591
un verre,5572
pas drôle,5565
me touche,5556
juste une,5541
tout ça,5530
attends attends,5483
mon pote,5475
ta mère,5472
faut quon,5471
ne savais,5464
faismoi confiance,5458
chose ne,5441
joyeux anniversaire,5419
est prêt,5414
pas dit,5405
sors de,5398
vous mavez,5385
arrête ça,5384
ma femme,5377
les filles,5366
marche pas,5365
ça vous,5358
te voilà,5354
oh je,5350
dêtre venu,5337
viens par,5333
jai trouvé,5306
allez les,5290
en faites,5290
rentre chez,5279
y arriver,5273
me fais,5250
se passer,5246
ton avis,5245
reste là,5245
a réussi,5236
a marché,5233
que lui,5222
sais pourquoi,5221
il arrive,5202
le sait,5196
ça peut,5196
cest normal,5179
estce possible,5168
pas vous,5162
doit y,5152
il sest,5141
je la,5134
a personne,5131
cest du,5129
oui en,5123
puisje faire,5116
bonne nouvelle,5111
les autres,5088
veux quoi,5065
est ici,5061
il était,5060
mon frère,5056
le crois,5055
bien bien,5052
ca suffit,5051
non rien,5051
m le,5048
o k,5046
une autre,5038
y voilà,5030
ouais ouais,5029
la vache,5026
a besoin,5024
fais ce,5020
questce quelle,5013
cest fou,4999
je temmerde,4992
pourquoi moi,4989
jai faim,4989
chez vous,4988
ça sest,4971
vais voir,4970
est en,4969
heure estil,4966
sûrement pas,4955
ne faites,4953
me plaît,4951
personne ne,4948
crois que,4944
a fait,4944
jai entendu,4935
de mon,4917
cest ton,4913
ma fille,4889
ne sois,4883
plus fort,4880
poser une,4878
quoi encore,4863
pour linstant,4861
le savezvous,4857
tes sûr,4856
je dis,4856
ouvre la,4853
juste que,4852
avez entendu,4841
ça narrivera,4839
vous rencontrer,4838
las dit,4835
cest cool,4833
cest horrible,4826
pour tout,4826
pour rien,4822
soin de,4816
au contraire,4812
de question,4786
et cest,4785
cest merveilleux,4771
absolument pas,4766
oh ouais,4760
vais me,4755
faites attention,4755
merci mon,4753
naie pas,4752
comment vatil,4739
vous croyez,4738
ça arrive,4731
as vu,4731
pas bon,4721
est partie,4718
tu mens,4710
peux y,4710
je mexcuse,4707
lai vu,4694
bien ça,4693
je lespère,4692
le connaissez,4689
avez vu,4687
voulais pas,4685
espèce de,4683
a la,4682
quon parle,4681
a vos,4680
ouvrez la,4678
la paix,4674
sont là,4672
bien se,4665
lui as,4651
tu lui,4651
