twogram,frequency
tes là,2343
oui très,2343
jai mal,2342
faites là,2342
veux le,2341
peutêtre raison,2340
sur quoi,2335
fait plaisir,2333
oui maman,2331
nétait pas,2330
là pour,2328
comme tout,2328
votre problème,2326
jespère que,2324
quil sest,2323
tes qui,2321
quoi tout,2317
quoi maintenant,2315
je moccupe,2314
cétait toi,2314
fait un,2313
tes malade,2312
les ai,2312
ca ira,2311
laissezmoi sortir,2311
nous aussi,2309
cest mauvais,2309
trois quatre,2309
ça sert,2308
jai du,2307
mauvaise idée,2306
veux bien,2305
bienvenue à,2304
vite vite,2304
ai besoin,2299
avec quoi,2297
te jure,2294
à genoux,2294
désolé monsieur,2294
as lair,2293
vous trompez,2292
pas ma,2292
bon boulot,2291
comme chez,2291
la même,2291
même chose,2291
veux en,2290
elle arrive,2290
jai fini,2289
ca ne,2284
je prends,2284
est bonne,2284
je rêve,2281
cest nous,2281
a été,2280
partez pas,2278
ne partez,2278
me recevez,2272
sortez dici,2270
pas important,2268
tu piges,2268
un quoi,2267
êtes qui,2267
est fou,2262
fais quelque,2262
laissezmoi passer,2258
donnezmoi ça,2258
vous montrer,2258
juste ici,2257
as de,2255
es malade,2255
sauvé la,2254
très intéressant,2252
qui cétait,2249
jarrive pas,2248
et je,2245
non pourquoi,2244
bonjour tout,2243
encore là,2243
te coucher,2240
fait non,2240
a changé,2239
comment osestu,2238
cest injuste,2234
bien fait,2232
merci merci,2231
me connaissez,2231
monde dehors,2229
te comprends,2228
rien dire,2227
tes dingue,2225
déteste ça,2221
suis fatigué,2219
estce arrivé,2219
cétait super,2215
laime bien,2215
venez voir,2214
est prêts,2214
du travail,2211
un monstre,2210
je tassure,2208
a qui,2201
me coucher,2198
mon boulot,2194
vas y,2193
si cest,2193
ça métonnerait,2191
tant que,2191
moques de,2189
te moques,2189
vous laisse,2187
laissezmoi partir,2185
a autre,2185
estce vrai,2184
ne savez,2183
oh dieu,2178
sans déconner,2178
reviens ici,2177
jy travaille,2174
jai juste,2172
attendez ici,2167
laissemoi taider,2164
vais mourir,2164
faites quelque,2162
dit non,2162
as réussi,2162
es magnifique,2161
demain matin,2161
très important,2156
passetil ici,2156
javais oublié,2152
je compte,2151
et si,2149
te rappelles,2148
ne dites,2147
pourquoi faire,2147
sest bien,2146
bien passé,2146
voulais te,2139
marchera pas,2139
quoi alors,2139
quitte pas,2136
jai menti,2136
tu restes,2133
est ma,2128
tu pleures,2127
peut faire,2127
vous revoir,2125
le téléphone,2125
la chercher,2124
pour une,2124
bien oui,2121
et lui,2118
vous rigolez,2116
suis contente,2115
les flics,2114
ca y,2113
quelle horreur,2112
les clés,2112
tai eu,2111
laissemoi voir,2111
voit plus,2109
cest stupide,2108
comment tappellestu,2107
si je,2106
bonjour maman,2105
new york,2105
vous dérange,2104
beaucoup de,2103
mas menti,2102
sont morts,2102
en forme,2101
lair en,2101
pas cette,2101
sen occupe,2099
du ciel,2099
vraiment pas,2099
quand ça,2096
meilleure idée,2096
une meilleure,2096
tes fou,2094
savez pourquoi,2094
dieu vous,2092
vous bénisse,2092
bon à,2090
merci madame,2090
à savoir,2090
une heure,2090
cest reparti,2089
tu connais,2088
vas me,2085
je tavais,2084
cest sans,2084
de tout,2084
as une,2083
pourquoi tas,2082
peu près,2079
tu joues,2078
daccord merci,2077
tétais où,2076
vous poser,2075
lavez vu,2074
un jeu,2074
ok merci,2073
faire un,2072
bonjour papa,2072
un tour,2072
mon nom,2071
excellente idée,2070
pour quelle,2070
a quelque,2070
quelle raison,2070
voulez dire,2066
tes prêt,2065
quavezvous dit,2060
ma dit,2058
et quoi,2056
ce type,2054
laissezmoi faire,2050
allez vite,2049
comment elle,2047
a fini,2045
lai eu,2043
pourquoi estu,2043
te suis,2043
monde va,2042
un seul,2042
hé toi,2035
quittez pas,2032
ne quittez,2032
tes conneries,2028
prenez ça,2028
me croire,2028
arrête tes,2028
une seule,2027
bonjour madame,2025
pas facile,2023
vous prend,2020
comment ca,2019
lai tué,2019
en quoi,2019
vous attendez,2019
oh ça,2017
le saviez,2017
prenez votre,2016
monde le,2015
quoi son,2015
jaime bien,2015
dirait bien,2013
pas envie,2013
voilà le,2013
et là,2012
où vaton,2012
est bien,2010
être en,2009
cessez le,2006
me demande,2005
je taccompagne,2005
peutêtre bien,2003
aussi je,2003
cest beaucoup,2003
quallonsnous faire,2003
va sarranger,2002
quelquun dautre,2002
votre avis,2001
oui papa,2001
faut partir,2000
avez besoin,2000
peutêtre que,2000
prends ton,1999
dirai rien,1997
mon problème,1997
je ferais,1996
le voici,1995
à lappareil,1993
vous asseoir,1991
jen veux,1989
autour de,1988
en haut,1988
cest notre,1987
je parle,1986
pas elle,1985
des choses,1983
merde alors,1981
on bouge,1980
toi non,1979
javais tort,1975
suis navrée,1975
vous racontez,1974
un jour,1973
vous vouliez,1971
vouliez me,1971
veux la,1970
ferme ta,1968
savez pas,1967
peux venir,1967
bon garçon,1966
étais sûr,1966
tu sors,1963
très belle,1961
jamais vu,1956
la dernière,1955
suis ici,1954
faites ici,1953
tes affaires,1953
oui votre,1951
voyons ça,1951
ten sais,1951
ta dit,1950
ravie de,1948
suis pour,1948
est fait,1948
bonsoir monsieur,1947
cest réglé,1945
je disais,1945
les mecs,1945
oh si,1943
tout se,1942
napprochez pas,1942
comment osezvous,1942
sont tous,1942
vous suis,1939
cest fermé,1939
ta main,1939
faut faire,1936
on continue,1935
non vraiment,1931
elle me,1930
suppose que,1928
comment avezvous,1927
en bas,1923
je serai,1923
cinq minutes,1923
serai là,1923
oh pardon,1920
jy serai,1920
dis donc,1920
vous cherchez,1916
doù venezvous,1914
jy arrive,1913
cest ouvert,1913
comme cest,1911
cest toujours,1909
pour aller,1907
ce bruit,1907
les pattes,1907
bas les,1907
jai froid,1905
trop risqué,1904
je laimais,1904
ben voyons,1902
salut ma,1901
nous navons,1900
navons pas,1900
dieu soit,1899
avez une,1899
soit loué,1899
cest idiot,1899
où veuxtu,1898
peu de,1897
veux rire,1897
oh mec,1895
non en,1895
au suivant,1891
vais la,1889
as perdu,1888
mon colonel,1887
fait si,1886
désolé de,1885
mon général,1884
attends ici,1882
savez qui,1881
êtes sérieux,1881
bien dit,1877
faites vite,1876
en pensez,1875
quelle chance,1874
le dites,1871
vais men,1868
vous rappelle,1867
salut tout,1867
peux partir,1866
tout doux,1866
on attend,1865
est trop,1864
regardez qui,1863
sans aucun,1856
me suivez,1855
pas très,1852
me voilà,1851
il na,1850
plus que,1850
vous lavais,1849
jappelle la,1849
merci mec,1848
pas sûre,1846
trop cool,1846
pas croyable,1846
plus un,1845
tes où,1845
un bail,1843
vous verrez,1843
prends pour,1841
fière de,1841
aucune chance,1840
est finie,1840
bien peur,1840
la connaissez,1839
merci encore,1838
rien passé,1838
sest rien,1838
moccupe de,1837
cétait mon,1833
oui sil,1832
tous morts,1829
dernière chose,1827
non sil,1827
mon seigneur,1827
un truc,1826
jai réfléchi,1819
quoi là,1819
soustitrage visiontext,1818
ca fait,1817
passe til,1817
men veux,1816
était temps,1815
fermez la,1813
allez au,1813
a genoux,1811
est cet,1811
ma maison,1808
cest dégueulasse,1808
est bon,1808
je lignorais,1804
oui vraiment,1803
jamais dit,1801
tu cherches,1800
bonne année,1800
tellement désolé,1796
fier de,1795
voyez ce,1795
suis fier,1795
rien faire,1794
jai déjà,1793
avec ça,1792
très beau,1792
partons dici,1791
fous là,1788
ny va,1787
la fin,1786
fait une,1786
en arrière,1785
dois aller,1784
ferais ça,1784
et elle,1783
avez compris,1782
mieux pour,1781
suis fatiguée,1781
dans quel,1780
fait froid,1780
hier soir,1777
très simple,1776
fait du,1776
du bien,1776
va y,1776
quoi votre,1774
moins que,1772
tiens tiens,1772
même pas,1772
jai raison,1771
ça devrait,1770
où elle,1770
pas normal,1770
cétait horrible,1769
il dort,1768
veux quelque,1768
dernière chance,1766
un plan,1764
avez faim,1763
écoutemoi bien,1763
foutez le,1762
doù tu,1761
la monnaie,1759
cest énorme,1758
te prends,1758
te demande,1757
croyez pas,1757
sortons dici,1757
merci quand,1756
où tétais,1754
as bien,1753
ça le,1753
doù ça,1753
cétait comment,1750
je passe,1749
si simple,1748
on nen,1746
lâche ça,1744
vous comprends,1744
laissezmoi deviner,1743
âge astu,1743
dit quelque,1743
oh daccord,1742
on recommence,1739
la vois,1739
eu ça,1737
dernière fois,1736
une urgence,1735
aussi simple,1735
te dérange,1735
cest chaud,1735
cest mal,1734
va être,1734
a du,1733
pour votre,1732
au lit,1732
voyez ça,1730
te revoir,1728
cest personnel,1728
de feu,1726
mal hein,1725
elles sont,1725
de salaud,1725
ça drôle,1724
si si,1723
te remercie,1723
après vous,1721
ca na,1721
vous expliquer,1720
le mille,1719
bien dormi,1717
voir ce,1717
javais raison,1717
qui êtes,1717
êtes vous,1717
à votre,1716
suis si,1716
ma sœur,1714
nen reviens,1714
je ferai,1714
ferai de,1714
chose comme,1712
au fait,1712
tu disais,1710
je démissionne,1710
hé les,1710
très jolie,1710
laissez passer,1709
te vois,1708
as gagné,1705
ma soeur,1705
las tué,1704
alors pourquoi,1704
un bébé,1704
la voie,1703
est libre,1703
tiens donc,1703
voie est,1703
suis au,1702
tout seul,1702
se tire,1700
allons y,1699
parler de,1699
le tien,1698
comment cétait,1697
en voiture,1696
ouais bien,1695
depuis toujours,1695
de grave,1693
jaime pas,1692
reste calme,1689
devrait y,1688
mes amis,1686
verra bien,1686
cet homme,1683
un cauchemar,1682
et le,1681
cétait incroyable,1681
la voir,1680
ok cest,1679
on veut,1677
coup de,1677
si on,1677
sais tout,1675
quelle coïncidence,1674
sais mais,1674
ça pourrait,1673
un mensonge,1672
ta femme,1669
quy a,1668
non maman,1665
tu sens,1664
cest eux,1663
noublie pas,1663
cest logique,1663
ne lui,1662
jétais là,1660
du thé,1659
maintenant oui,1659
te dise,1659
plus haut,1658
cest encore,1656
veux faire,1656
allez venez,1656
oubliez ça,1653
oui jai,1653
pour faire,1652
dun chien,1652
nom dun,1652
cest plus,1651
une famille,1650
allez debout,1649
lamour de,1648
cette porte,1647
que testil,1647
testil arrivé,1647
cétait pas,1646
ça dit,1646
cest nouveau,1645
ny arrive,1644
suis un,1644
quand tu,1643
ce matin,1642
vous deux,1642
me la,1642
euh non,1642
moi de,1641
eu de,1641
suis avec,1639
ai pour,1637
me demandais,1637
sait rien,1635
bonjour messieurs,1635
tu permets,1634
bien très,1634
tu voulais,1633
test arrivé,1633
qui test,1633
nous deux,1632
métonne pas,1631
allez voir,1631
a votre,1629
pourquoi êtesvous,1628
cest pareil,1624
des ennuis,1624
ou quoi,1623
vous pensez,1622
entrez donc,1620
en reparlera,1619
bien ici,1619
la mort,1618
peut parler,1618
tarrête pas,1617
toujours rien,1617
ten vas,1616
comment sappelletil,1615
état darrestation,1614
taime tellement,1614
en état,1614
mauvaise nouvelle,1614
te dit,1613
fais vite,1613
salut mon,1612
désolé pour,1611
un rendezvous,1611
pour longtemps,1611
rends compte,1610
te rends,1610
vous appelez,1609
que ditil,1606
bien vrai,1605
en voulez,1602
à gauche,1600
le tiens,1600
en vie,1599
cest noté,1597
merci les,1596
non désolé,1595
jai bien,1595
jy étais,1593
comprends ça,1592
un rêve,1591
hey hey,1591
qui suisje,1590
voir ça,1589
je nirai,1588
fais comme,1586
belle journée,1585
avoir honte,1584
veux mourir,1584
dans ce,1584
ce cas,1584
oh mince,1583
à propos,1582
ouvre les,1579
quelle honte,1578
excuse moi,1576
que faitelle,1576
cétait il,1575
les vois,1575
ne marchera,1573
commence pas,1573
bonjour à,1573
suis mort,1572
et donc,1571
elle dort,1571
doit partir,1570
pas partir,1570
veux vous,1569
sur la,1568
mains sur,1568
toute la,1568
dois rentrer,1564
sans problème,1562
les jours,1562
appelez une,1561
cest cela,1559
me trompe,1559
ne dirai,1559
de spécial,1559
ne parle,1558
tellement désolée,1557
oh la,1557
déconne pas,1555
vous aimez,1554
oui absolument,1553
jy ai,1553
passe quoi,1551
bien compris,1550
salut chéri,1548
as fini,1547
fiche le,1547
est daccord,1546
serait bien,1545
il sait,1542
vas le,1541
lui avezvous,1540
prenez soin,1539
peut être,1539
sais où,1539
a propos,1538
mince alors,1538
veux y,1538
je croyais,1537
quoi quil,1537
pourquoi astu,1535
pas moyen,1535
ce sont,1535
ca veut,1534
dismoi ce,1532
me dérange,1531
pige pas,1530
on dégage,1530
pas tes,1530
vous va,1530
passe bien,1529
pas stupide,1527
ny peux,1527
veux voir,1527
il sen,1527
jen reviens,1526
la bouche,1526
ténerve pas,1525
moi qui,1525
alors on,1524
ma puce,1524
cest où,1523
je réfléchis,1523
fait oui,1523
un an,1521
personne dautre,1520
tu pars,1520
je descends,1520
sen fiche,1519
crois oui,1519
me faire,1518
faire confiance,1518
je préfère,1517
vais prendre,1517
vais pas,1517
dautres questions,1516
te la,1516
et non,1514
jamais entendu,1514
pas pareil,1513
pas vu,1513
mon argent,1511
mon chéri,1511
cest certain,1511
cest amusant,1508
comment cela,1507
me prends,1506
mais vous,1506
le fera,1506
revoir papa,1505
à le,1504
dois filer,1502
quelle bonne,1502
bonjour chérie,1502
de questions,1501
toi qui,1498
quelle différence,1498
oh super,1498
comment estil,1498
la moindre,1497
mais tu,1497
suis presque,1496
es sérieuse,1496
faut pas,1496
en prison,1496
dismoi la,1495
voit demain,1494
ne regarde,1491
la première,1491
va là,1491
sa mère,1490
le plaisir,1490
plaisir est,1490
est pour,1490
pouvez partir,1489
tu men,1489
salut ça,1487
beau boulot,1487
une mauvaise,1486
passe quelque,1486
vous tous,1486
de lui,1485
vous accompagne,1484
parlons plus,1483
va au,1483
nen parlons,1483
il ma,1482
tu rêves,1481
veux rien,1481
quon dit,1479
tiens ça,1479
attention sil,1478
deux minutes,1478
peutêtre plus,1477
a de,1475
veut rien,1475
vous regardez,1473
astu pu,1472
sens mal,1472
monte dans,1472
cest prêt,1472
suis juste,1471
lâchez votre,1470
lai vue,1470
la vôtre,1470
allons voir,1470
me manquer,1470
que dalle,1469
qui estelle,1468
men moque,1468
quaije fait,1467
te laisse,1467
vous trouvez,1465
avez de,1465
je texpliquerai,1465
tiens le,1463
pouvez y,1463
et encore,1460
se casse,1458
va ça,1458
est mignon,1458
a déjà,1456
suis ton,1456
déjà parlé,1456
y réfléchir,1454
qui estil,1452
fichez le,1452
eh ben,1451
tu attends,1451
bon retour,1448
bien ce,1447
comment dire,1447
cest combien,1446
en dis,1445
jai soif,1445
bien alors,1443
suis médecin,1443
au feu,1442
me rappelle,1441
passé quelque,1440
bonté divine,1440
mas entendu,1437
va marcher,1437
elle était,1436
lui dirai,1436
en position,1435
me tire,1435
doit parler,1433
restez calme,1431
bonne chose,1430
à dormir,1430
est làbas,1427
reste tranquille,1427
suis malade,1427
te cherchais,1427
oh désolé,1424
au cas,1424
cas où,1424
cest ca,1423
je tappellerai,1423
a droite,1423
connaissez pas,1422
voulezvous en,1422
cest hors,1422
où voulezvous,1422
taime bien,1421
hé mec,1419
rentrer chez,1419
mieux comme,1419
avez fini,1418
de chance,1418
beaux rêves,1417
de beaux,1417
le ferais,1416
du passé,1416
allez faire,1414
ça aussi,1414
bonnes nouvelles,1412
quastu dit,1412
sois prudente,1411
ok daccord,1411
vraiment bien,1410
je conduis,1409
une semaine,1409
alors vasy,1408
mais qui,1407
ai un,1407
me casse,1406
as parlé,1406
non arrête,1405
tu nen,1405
les choses,1404
parlera plus,1403
de lhistoire,1403
men parle,1403
ne viens,1403
je tadore,1403
viens pas,1403
je minquiète,1402
peux masseoir,1402
mais ça,1401
point final,1399
voulez bien,1399
toujours pareil,1397
sortir dici,1397
voilà pour,1396
sent bon,1395
oui peutêtre,1395
ça sent,1395
ne sest,1394
veuxtu en,1394
avez ma,1394
te hais,1394
quelque part,1394
le début,1393
vous tiens,1392
cest donc,1391
sur que,1391
euh oui,1390
dirait pas,1389
fermez les,1388
les connais,1387
reviens vite,1386
salut mec,1386
jai pigé,1386
dois lui,1385
suis libre,1384
peux parler,1384
bien allonsy,1384
je tattends,1383
moi pas,1382
un flic,1382
veuxtu mépouser,1382
le sauraisje,1382
de soucis,1381
toi dabord,1380
probablement pas,1379
vais nulle,1378
ne vais,1378
qui cloche,1377
votre femme,1376
quel con,1374
trouvé ça,1374
pas au,1374
moi alors,1374
pas dargent,1373
tué personne,1372
fait chaud,1372
oui toi,1372
besoin dun,1371
pas forcément,1371
quen savezvous,1371
savez rien,1370
le penses,1370
merci chérie,1369
ma famille,1369
as tort,1369
et nous,1368
oh salut,1367
soyez pas,1367
a le,1367
vais très,1366
est folle,1366
votre faute,1365
un meurtre,1365
ouais moi,1365
venez vite,1364
peut le,1362
me comprenez,1361
qui compte,1361
men douter,1360
dû men,1360
est ce,1360
reste en,1359
lâche ton,1359
que tout,1358
pas marché,1358
ça recommence,1357
tapproche pas,1355
à peu,1355
fousmoi la,1355
ne tapproche,1355
jai presque,1353
avait raison,1353
pas tant,1352
toc toc,1351
la cuisine,1350
mon capitaine,1349
nous partons,1348
prochaine fois,1346
peut rien,1346
votre service,1344
faites comme,1344
quoi pensestu,1343
ma voiture,1342
appelez la,1342
avez des,1341
êtes prêt,1341
elle ment,1341
le pauvre,1339
es belle,1339
passez une,1339
las déjà,1338
ah merde,1337
le quoi,1337
que jen,1335
ten es,1335
non papa,1334
nexiste pas,1333
peux essayer,1333
crois bien,1332
cétait sympa,1332
lai jamais,1331
me manque,1331
pourquoi ditesvous,1330
est jolie,1330
fait tard,1330
de parler,1329
quen saistu,1326
en place,1325
gardez la,1325
est vivante,1325
six mois,1325
es blessé,1323
je tattendais,1323
pourquoi maintenant,1323
crois ça,1321
mieux que,1321
vous disiez,1320
vous a,1320
oui maître,1319
cest adorable,1319
estil allé,1318
son père,1318
cherché partout,1317
doù vienstu,1317
nous avons,1317
fin de,1316
est maman,1315
à laise,1315
te reposer,1314
un médecin,1314
ecoutemoi bien,1314
doucement doucement,1313
reste où,1313
vous entends,1313
plus près,1312
est arrivés,1312
ma main,1311
fait combien,1311
quel but,1311
ah daccord,1310
tenezmoi au,1309
de vrai,1309
passé quoi,1309
ca alors,1307
quil en,1307
en soit,1307
par où,1307
sans importance,1306
me comprends,1305
pardon monsieur,1305
a gauche,1305
ai entendu,1305
dois vous,1305
deux ans,1305
qui sont,1304
ces gens,1304
sont ces,1304
jai hâte,1303
na plus,1303
pas dire,1302
est superbe,1301
me fait,1300
dois me,1299
a peu,1299
voilà pourquoi,1296
baissez vos,1295
mais encore,1294
surtout pas,1293
cétait lui,1292
on frappe,1292
bien je,1292
ça non,1291
pas mort,1289
te pardonne,1289
où astu,1289
devine quoi,1288
tu fabriques,1288
viens vite,1288
dy aller,1287
ton frère,1287
les femmes,1287
le destin,1287
dîner est,1287
le dîner,1287
tentends pas,1286
cest interdit,1285
peux voir,1285
devez partir,1284
un million,1283
ma décision,1283
fais mal,1282
va revenir,1282
est adorable,1281
peut attendre,1279
pourquoi faitesvous,1279
faitesvous ça,1279
petit peu,1276
un petit,1276
avez peur,1276
tout juste,1275
à nous,1274
fait dire,1273
ok bien,1271
trop mignon,1271
suis fière,1271
non tout,1271
suis ravi,1270
très impressionnant,1270
ne change,1270
une quoi,1269
suis flic,1268
sa femme,1268
vous parle,1266
chez nous,1266
qui moi,1266
veux partir,1266
peut dire,1265
sommes prêts,1265
en gros,1265
on perd,1265
je létais,1263
foutez de,1263
que dire,1263
cest assez,1263
il te,1261
les toilettes,1261
quatelle dit,1260
oui vous,1260
pas où,1260
coups de,1260
vous ai,1260
jai pris,1259
de quel,1259
javais peur,1259
un fait,1259
après toi,1258
je tentends,1258
tuez pas,1257
une bombe,1256
tes mort,1256
sans moi,1256
pas te,1255
oui chérie,1254
comme au,1254
bon vieux,1254
vieux temps,1254
au bon,1254
vous dit,1253
es mort,1253
alors allonsy,1252
regarde ce,1252
allons allons,1251
soyez prudent,1251
men souviendrai,1251
regarde autour,1250
étaistu passé,1250
souvenez de,1250
ne lécoute,1249
lécoute pas,1249
regardez pas,1249
devrais pas,1248
oui tu,1248
les gens,1248
se reverra,1248
ne devrais,1248
ont changé,1247
suis trompé,1247
quel honneur,1247
pense même,1245
es très,1245
suis dit,1245
je cherche,1245
te fait,1244
du boulot,1243
à mon,1243
oui docteur,1243
regarde moi,1243
la famille,1243
rien entendu,1243
laissemoi partir,1242
me faites,1242
rien ne,1242
te dis,1242
bon allonsy,1242
cest charmant,1241
as peutêtre,1241
dors bien,1238
merde merde,1238
encore mieux,1237
il parle,1237
cest comment,1236
un début,1236
tai dit,1235
une amie,1234
qui toi,1234
je nentends,1234
nentends rien,1234
le dernier,1234
à bord,1233
que dieu,1233
suis heureux,1233
âge avezvous,1232
bon jy,1232
ne sert,1230
bon chien,1230
a parlé,1230
boire quelque,1228
puis merde,1228
votre fils,1228
moins fort,1227
pas nous,1227
nimporte où,1227
laissemoi te,1226
exactement ça,1226
cest exactement,1226
avez tort,1224
tes folle,1223
contente de,1222
peux aider,1222
sans rire,1222
aimes ça,1221
fait là,1220
ta pris,1219
je voudrais,1219
suis innocent,1219
quel idiot,1219
espèce denfoiré,1218
de voir,1218
des nouvelles,1216
quel gâchis,1216
quoi astu,1215
pas plus,1215
écoute ça,1214
eu peur,1213
hé vous,1212
peux maider,1212
trois deux,1212
deux un,1212
jai vérifié,1212
de main,1211
mon oncle,1211
pas dû,1211
naurais pas,1211
me croyez,1211
rigole pas,1210
cette merde,1210
il dit,1210
va savoir,1209
ouvrez les,1209
toi ça,1209
vont bien,1209
que fontils,1207
pas touche,1207
dêtre en,1207
faitesle entrer,1206
vais aux,1206
cest son,1204
il lest,1203
ouais daccord,1202
quel propos,1201
est super,1201
question est,1200
vois quelque,1199
ca me,1199
vous regarde,1198
tu maides,1198
salut bébé,1197
va ten,1195
tu délires,1195
estce clair,1195
regarde qui,1195
sen sortira,1195
je déconne,1193
les garçons,1193
puis quoi,1192
cest illégal,1192
cest ok,1191
il doit,1191
y avoir,1191
soyez prudents,1190
est juste,1188
je parte,1186
juste comme,1186
pourquoi je,1185
je pourrais,1185
tu tamuses,1184
désolé je,1183
tenezvous prêts,1183
cétait quand,1183
trouves ça,1182
pas cool,1182
fait ici,1181
calme toi,1181
trop facile,1181
tu savais,1181
bon courage,1180
suis touché,1180
pouvez maider,1179
te fais,1179
pas sérieux,1178
la veux,1178
une plaisanterie,1177
ah vraiment,1177
noubliez pas,1177
mes félicitations,1176
cest maintenant,1174
sont magnifiques,1174
attends quoi,1174
cette odeur,1174
vas adorer,1173
taime papa,1173
déjà vu,1172
êtes malade,1169
bon alors,1169
avez réussi,1169
lavez tué,1169
cette fille,1168
las vue,1168
mais ce,1167
le salaud,1167
est parfait,1167
cétait vous,1167
avez perdu,1166
suis perdu,1166
mais de,1166
mission accomplie,1166
ça faisait,1165
faisait longtemps,1165
oui quoi,1164
jai merdé,1164
à ce,1163
un secret,1162
veux lui,1162
cest décidé,1162
ne suffit,1160
suffit pas,1160
cest chouette,1160
du gâteau,1160
le roi,1159
salut cest,1159
alors questce,1159
la visite,1158
cest papa,1157
de laide,1157
derrière toi,1157
alors voilà,1156
mas rien,1156
un enfant,1153
regarde bien,1153
donnemoi ta,1153
vous arrête,1153
fous ici,1152
pas idée,1151
entrez je,1150
es incroyable,1150
je file,1150
laissele tranquille,1149
y es,1149
las eu,1149
cest fascinant,1148
cette femme,1148
à lintérieur,1147
la journée,1146
est très,1146
soustitrage vidéo,1146
tres bien,1146
un bon,1146
merci messieurs,1146
que voyezvous,1145
ça pue,1144
un avocat,1144
revoir maman,1144
ton fils,1144
lai trouvée,1144
le tient,1143
bon écoute,1143
grâce à,1143
monde à,1143
ai une,1142
me dis,1141
a ce,1141
vous attendais,1141
viens on,1140
viens tasseoir,1140
où sontelles,1140
avec joie,1139
qui donc,1139
cest débile,1138
votre altesse,1138
ne réponds,1138
réponds pas,1138
un mois,1137
est enceinte,1137
ne métonne,1136
la voici,1135
sois sage,1134
que moi,1134
ça marchera,1133
pour ton,1132
a peur,1131
voyezvous ça,1131
sais de,1131
tous ensemble,1131
quoi je,1131
dis quoi,1131
viens de,1131
si seulement,1130
êtes folle,1130
ça sonne,1130
fichemoi la,1129
me mens,1129
voilà cest,1126
entends ça,1126
le tour,1126
non ne,1125
si mal,1124
comment je,1124
mavez fait,1124
pas rester,1124
vous amène,1123
la pauvre,1122
me las,1122
trés bien,1122
tais toi,1121
à droite,1120
faistu ça,1120
pourquoi faistu,1120
vous étiez,1120
un honneur,1120
quoi cet,1120
faites erreur,1119
le fait,1119
grand chose,1118
my attendais,1118
pas grand,1118
me rends,1118
de quelque,1117
êtes fous,1117
cen est,1117
jai des,1115
va très,1114
viens darriver,1114
fichons le,1114
tai manqué,1113
la clé,1113
allez monte,1113
sa faute,1113
passera bien,1112
merci capitaine,1112
a eu,1112
se passera,1112
tout droit,1111
faismoi voir,1111
on part,1110
cest non,1110
lui astu,1109
plus bas,1109
dans les,1109
de bon,1109
tes con,1109
je gère,1109
heure il,1108
ai bien,1108
une arme,1107
simple que,1107
maintenant si,1107
cest aussi,1107
veux du,1107
mon truc,1105
sinon quoi,1105
moquez de,1105
vous moquez,1105
nirai pas,1103
dois sortir,1103
de garder,1102
avez le,1102
garder le,1102
le silence,1102
droit de,1102
et la,1101
bon très,1101
les pas,1101
ne les,1101
pour sûr,1101
tiens prends,1100
est avec,1100
changement de,1100
lair bien,1099
trop fort,1099
oui exactement,1098
son problème,1098
narrivera plus,1097
venez les,1097
mais merci,1097
cest impressionnant,1097
tas un,1096
à signaler,1096
voulezvous que,1096
ce fut,1095
les portes,1095
eu tort,1095
fut un,1095
asseyezvous je,1094
quel rapport,1094
est mignonne,1094
regardez bien,1093
te bénisse,1093
dieu te,1093
oui vasy,1091
deux jours,1091
je pige,1091
du feu,1090
ne faut,1089
dis la,1089
de jouer,1089
dites pas,1088
bon cest,1087
tout vu,1087
regardes quoi,1086
ouais ça,1086
non mec,1085
est sorti,1085
oui patron,1084
quelle histoire,1084
pas bouger,1084
cest gênant,1084
quavezvous vu,1083
je promets,1083
on ny,1082
voulais juste,1082
bonjour docteur,1081
quils font,1081
une cigarette,1081
vos gueules,1080
suis sa,1080
en étionsnous,1078
quel soulagement,1078
désolé mec,1078
pose ça,1078
a une,1078
cest loin,1078
ok allonsy,1077
ce moment,1076
en ce,1076
pas dinquiétude,1076
fais peur,1076
temps mort,1076
allez quoi,1075
rentrons à,1075
quelle est,1074
las pas,1074
suis ta,1074
sais très,1073
ben non,1073
bien essayé,1073
pas longtemps,1071
quoi pensezvous,1071
doctor who,1071
je taide,1071
nen sait,1071
est blessé,1071
chaque chose,1070
pouvez disposer,1070
veux danser,1070
son temps,1070
chose en,1070
il vient,1070
en son,1070
lavez fait,1069
le plus,1068
oh ok,1068
la loi,1068
tavais prévenu,1068
ma chambre,1068
wobbly team,1068
wibbly wobbly,1068
vas mourir,1067
rendsmoi service,1067
le mur,1067
contre le,1067
ai pensé,1067
vais arranger,1067
faites voir,1066
vous connaître,1066
dieu du,1066
tas faim,1066
lâchez vos,1066
a dautres,1065
voilà qui,1064
mon travail,1064
est mieux,1064
lai perdu,1063
demain soir,1063
de dire,1062
taime maman,1061
tiré dessus,1061
non toi,1059
dites rien,1059
três bien,1059
pour combien,1059
faitil ici,1058
restes ici,1057
me reconnais,1057
nous verrons,1057
pas bête,1057
tes sérieuse,1056
laissezle tranquille,1055
cest curieux,1055
vous de,1054
allezvous en,1054
essaie encore,1054
vais être,1054
tu exagères,1053
tas fini,1053
avez dit,1052
voulezvous savoir,1052
tu dors,1051
la terre,1051
cétait bon,1050
aller aux,1049
parlez anglais,1049
en toi,1049
une honte,1049
avez gagné,1049
si bien,1049
fait maintenant,1048
mais toi,1048
votre fille,1048
men doute,1047
suis impressionné,1047
ne tarrête,1047
