search_string,start_time,end_time,sentence,video_id,video_url
waarom doe je niet gewoon zoals ons allemaal en ga je gewoon het is maar n keer om de vier jaar dat je tegen je,41,47,waarom doe je niet gewoon zoals ons allemaal en ga je gewoon het is maar n keer om de vier jaar dat je tegen je goesting,7qygIdY0k8Y,https://www.youtube.com/watch?v=7qygIdY0k8Y&t=41s
wij zoveel mogelijk informatie van jullie te weten komen niet alleen wie dat er natuurlijk een geest geeft maar,13,20,dat is het moment waarop wij zoveel mogelijk informatie van jullie te weten komen niet alleen wie dat er natuurlijk een geest geeft maar,lyFGXuV3vqo,https://www.youtube.com/watch?v=lyFGXuV3vqo&t=13s
wel hulp bij nodig dus ik zou heel graag van jullie willen weten hoe jullie de groep eigenlijk voor jullie zien,67,73,wel hulp bij nodig dus ik zou heel graag van jullie willen weten hoe jullie de groep eigenlijk voor jullie zien,LPMFkDtXKvk,https://www.youtube.com/watch?v=LPMFkDtXKvk&t=67s
los van dat het niet ja dat je het natuurlijk liever niet hebt maar ik kijk er wel heel anders naar nu zeg maar,888,893,los van dat het niet ja dat je het natuurlijk liever niet hebt maar ik kijk er wel heel anders naar nu zeg maar,F94oQobBQ2Q,https://www.youtube.com/watch?v=F94oQobBQ2Q&t=888s
ik heb echt vaak dat ik mensen aan het einde van de dag naar huis moet sturen van jongens dr is ook wat anders,788,795,ik heb echt vaak dat ik mensen aan het einde van de dag naar huis moet sturen van jongens dr is ook wat anders,pG9tQDC_660,https://www.youtube.com/watch?v=pG9tQDC_660&t=788s
ook niet meer bij als je bij wil blijven met je bedrijf en mee wil gaan met de nieuwe dingen die voorbij komen,1932,1939,maar het past ook niet meer bij als je bij wil blijven met je bedrijf en mee wil gaan met de nieuwe dingen die voorbij komen,25udztDPW_k,https://www.youtube.com/watch?v=25udztDPW_k&t=1932s
natuurlijk waren er dat maar een paar en als je het niet zeker weet dan moet je hier heel voorzichtig mee zijn,571,577,natuurlijk waren er dat maar een paar en als je het niet zeker weet dan moet je hier heel voorzichtig mee zijn,HoN5u9NvMwA,https://www.youtube.com/watch?v=HoN5u9NvMwA&t=571s
nou jongens als jullie het nu niet meer voor elkaar gaan krijgen in jullie leven dan snap ik het ook niet meer,551,557,nou jongens als jullie het nu niet meer voor elkaar gaan krijgen in jullie leven dan snap ik het ook niet meer,GpNF_H2a6gA,https://www.youtube.com/watch?v=GpNF_H2a6gA&t=551s
ik vind dat heel fijn als het goed lukt en ik weet ook nog wel dat een van de eerste dingen dat ging iets over,129,135,ik vind dat heel fijn als het goed lukt en ik weet ook nog wel dat een van de eerste dingen dat ging iets over afval,PL1o2rEWkbc,https://www.youtube.com/watch?v=PL1o2rEWkbc&t=129s
ja anders denk ik of het nieuw is weet ik niet er zijn natuurlijk gewoon dingen die gewoon zijn zoals het was,611,618,ja anders denk ik of het nieuw is weet ik niet er zijn natuurlijk gewoon dingen die gewoon zijn zoals het was,4CZp1VMWmcM,https://www.youtube.com/watch?v=4CZp1VMWmcM&t=611s
